Metric,Value
Theta (degrees),29.999630336913665
Theta (radians),0.5235923237603193
M,0.030001442393722325
X,54.99872307238931
Mean L1 Error,0.013362264746487237
Median Residual,0.0129985930874561
Maximum Residual,0.04044196589227056
Minimum Residual,0.00015527456724129252
Residual Std Dev,0.008123314231831753
Iterations,34.0
Function Evaluations,2152.0
Execution Time (s),16.87354016304016
